step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
84,1.19232023,-0.74037611,1.20079711,-0.74838595,0.00180015,0.01231252,0.00384516,0.00111666,172.88098617,125.92064916,174.56797172,0.00008849,0,1,8.00000000,0.00087593,-0.00817263,-2.19957318,-1.39617860,0.74888334
85,1.19239924,-0.74104625,1.20095201,-0.74815917,0.00207243,0.01174483,0.00375240,0.00112470,175.62418196,126.35160366,174.94148089,0.00008169,0,1,8.08000000,0.00128753,-0.00747513,-2.19950343,-1.39628060,0.74887530
86,1.19249237,-0.74166100,1.20098072,-0.74788024,0.00233563,0.01122067,0.00378832,0.00108152,176.29046690,126.77316549,175.31033355,0.00007541,0,1,8.16000000,0.00153110,-0.00675534,-2.19945179,-1.39625156,0.74891848
87,1.19260901,-0.74221870,1.20051373,-0.74755693,0.00249650,0.01073198,0.00418104,0.00119428,180.71127711,127.18563142,175.65660976,0.00006961,0,1,8.24000000,0.00115102,-0.00602561,-2.20000352,-1.39581896,0.74880572
88,1.19271021,-0.74271827,1.20077191,-0.74734003,0.00276971,0.01030362,0.00396885,0.00105345,182.05592149,127.58924773,176.01585951,0.00006426,0,1,8.32000000,0.00165823,-0.00546922,-2.19956403,-1.39605517,0.74894655
89,1.19283070,-0.74316916,1.20071510,-0.74688370,0.00319729,0.00990249,0.00413881,0.00103080,184.67860100,127.98428917,176.35796696,0.00005932,0,1,8.40000000,0.00176211,-0.00466081,-2.19967273,-1.39587415,0.74896920
90,1.19296917,-0.74356142,1.20116375,-0.74668472,0.00351360,0.00953351,0.00403214,0.00098158,186.12919889,128.37100862,176.69153657,0.00005476,0,1,8.48000000,0.00244803,-0.00420947,-2.19948287,-1.39600116,0.74901842
91,1.19314856,-0.74390901,1.20072127,-0.74670841,0.00336968,0.00916747,0.00408468,0.00098331,187.88900593,128.74967984,177.01150966,0.00005055,0,1,8.56000000,0.00201195,-0.00405780,-2.19953435,-1.39594195,0.74901669
92,1.19331998,-0.74423728,1.20048115,-0.74724511,0.00279659,0.00882223,0.00409547,0.00111293,190.81900598,129.12054251,177.30655916,0.00004666,0,1,8.64000000,0.00182408,-0.00452477,-2.19978614,-1.39591012,0.74888707
93,1.19347041,-0.74458805,1.20000457,-0.74742415,0.00257586,0.00848084,0.00466068,0.00131260,195.77474889,129.48384895,177.58957538,0.00004307,0,1,8.72000000,0.00137297,-0.00451631,-2.20057176,-1.39537452,0.74868740
94,1.19359108,-0.74494956,1.19961709,-0.74748325,0.00254571,0.00815973,0.00451069,0.00126293,199.44356927,129.83982357,177.89232420,0.00003976,0,1,8.80000000,0.00105932,-0.00433276,-2.20037851,-1.39550522,0.74873707
95,1.19368335,-0.74530059,1.19936087,-0.74743636,0.00264211,0.00787303,0.00459845,0.00131873,200.63215516,130.18866545,178.17849526,0.00003671,0,1,8.88000000,0.00093166,-0.00401721,-2.20053471,-1.39543274,0.74868127
